Reference Key;Default Language;pl
msg.error.organizer.order.refund;Sorry, we couldn't process the refund for this order. Please try again later.;Przepraszam, nie mogliśmy przetworzyć zwrotu za to zamówienie. Spróbuj ponownie później.
msg.chnl.leave.confirm;Do you want to leave this channel?;Chcesz opuścić ten kanał?
lbl.billing.address;Billing Address;Adres rozliczeniowy
lbl.individuals;Individual;Indywidualny
lbl.tax.registration.number;Tax Registration Number;Numer rejestracyjny podatkowy
lbl.street;Street;Ulica
lbl.address.line.1;Address Line 1;Adres, linia 1
lbl.address.line.2;Address Line 2;Adres, linia 2
lbl.city;City;Miasto
lbl.state;State;Stan
lbl.country;Country;Kraj
lbl.zip.code;Zip Code;Kod pocztowy
msg.business.invoice.need.text;Would you like a business invoice?;Chcesz fakturę firmową?
msg.business.invoice.desc.sub.text;Please fill the details below to get a business invoice for your ticket(s).;Wypełnij poniższe dane, aby otrzymać fakturę za bilet(y).
msg.enter.valid.email;Enter a valid email address;Wprowadź poprawny adres e-mail
msg.enter.your.first.name;Enter your first name;Wpisz swoje imię
msg.enter.your.last.name;Enter your last name;Wpisz swoje nazwisko
msg.enter.your.phone.number;Enter your phone number;Wprowadź swój numer telefonu
msg.enter.your.company.individual.name;Please enter the company name or individual's name;Wpisz nazwę firmy lub imię i nazwisko
msg.enter.your.street.address.1;Enter your house number, apartment, floor, or building;Wpisz swój numer domu, mieszkania, piętro lub budynek
msg.enter.your.street.address.2;Enter your street, colony, or locality;Wpisz swoją ulicę, kolonię lub lokalizację
msg.enter.your.city;Enter your city name;Wpisz nazwę swojego miasta
msg.enter.your.state;Enter your state name;Wpisz nazwę swojego stanu
msg.select.state;Select state;Wybierz stan
msg.select.country;Select country;Wybierz kraj
msg.enter.your.zip.code;Enter your zip code;Wprowadź swój kod pocztowy
msg.error.billing.addr.name.invalid;The company name or individual's name contains one or more invalid characters;Nazwa firmy lub osoby zawiera niedozwolone znaki
msg.error.billing.addr.name.too.long;The company name or individual's name can't exceed 255 characters;Nazwa firmy lub osoby nie może przekraczać 255 znaków
msg.error.street.addr.1.enter;Please enter Address Line 1;Wprowadź adres – linia 1
msg.error.street.addr.1.invalid;Address Line 1 contains one or more invalid characters;Wiersz adresu 1 zawiera niedozwolone znaki
msg.error.street.addr.1.too.long;Address Line 1 can't exceed 255 characters;Pierwsza linia adresu nie może przekraczać 255 znaków
msg.error.street.addr.2.enter;Please enter Address Line 2;Wprowadź drugi wiersz adresu
msg.error.street.addr.2.invalid;Address Line 2 contains one or more invalid characters;Drugi wiersz adresu zawiera niedozwolone znaki
msg.error.street.addr.2.too.long;Address Line 2 can't exceed 255 characters;Drugi wiersz adresu nie może mieć więcej niż 255 znaków
msg.error.state.enter;Please fill the state;Proszę podać województwo
msg.venue.city.too.long;The city name cannot exceed 50 characters;Nazwa miasta nie może mieć więcej niż 50 znaków
msg.venue.city.spl.chars;The city name includes special characters;Nazwa miasta zawiera znaki specjalne
msg.venue.state.without.spl.chars;The state name includes special characters;Nazwa stanu zawiera znaki specjalne
msg.venue.state.too.long;The state name cannot exceed 50 characters;Nazwa stanu nie może mieć więcej niż 50 znaków
msg.venue.zipcode.enter;You have not entered the zip code;Nie wpisałeś kodu pocztowego
msg.venue.zipcode.without.spl.chars;Zip codes can only include numbers and hyphens (-). No other special characters are allowed.;Kody pocztowe mogą zawierać tylko cyfry i myślniki (-). Inne znaki specjalne są niedozwolone.
msg.venue.zipcode.too.long;The zip code cannot exceed 10 characters;Kod pocztowy nie może mieć więcej niż 10 znaków
msg.venue.country.code.not.valid;The country code must be in ISO Alpha-2 format. (For example, UN, IN, etc.);Kod kraju musi być w formacie ISO Alpha-2 (np. UN, IN itp.)
msg.site.error.order.refund.failure.stripe.insufficient.funds;We are trying to process your refund request and we will keep informed once the request is processed. We appreciate your patience and understanding.;Przetwarzamy Twoją prośbę o zwrot i poinformujemy Cię, gdy zostanie rozpatrzona. Dziękujemy za cierpliwość i wyrozumiałość.
msg.error.tax.registration.number.enter;Please enter your tax registration number;Wprowadź swój numer rejestracji podatkowej
msg.error.tax.registration.number.invalid;You have entered an invalid tax registration number;Wpisałeś nieprawidłowy numer rejestracji podatkowej
msg.error.tax.registration.number.too.long;The tax registration number can't exceed 30 characters;Numer rejestracyjny podatkowy nie może przekraczać 30 znaków
msg.tax.id.purpose.text;Providing your tax registration number allows you to claim tax;Podanie numeru rejestracji podatkowej pozwala ubiegać się o podatek
lbl.email.settings;Email Settings;Ustawienia e-mail
lbl.promotional.emails;Promotional Emails;E-maile promocyjne
msg.email.settings.help.text;We send you emails to help you stay connected to the event. You can enable or disable these emails below to update your email preferences.;Wysyłamy Ci e-maile, abyś był na bieżąco z wydarzeniem. Możesz włączyć lub wyłączyć te e-maile poniżej, aby zaktualizować swoje preferencje.
msg.promotional.mail.subscribe.success;Subscribed successfully;Pomyślnie zasubskrybowałeś
msg.promotional.mail.subscribe.cancel;Subscribtion canceled;Subskrypcja anulowana
msg.error.promotional.mail.subscribe.status;Sorry, we are unable to update your email subscription. Please try again later.;Przepraszam, nie możemy zaktualizować Twojej subskrypcji e-mail. Spróbuj ponownie później.
lbl.edit.profile;Edit Profile;Edytuj profil
lbl.ticket.sales.ended;Ticket Sales Ended;Sprzedaż biletów zakończona
lbl.ticket.sales.started;Ticket Sales Started;Sprzedaż biletów rozpoczęta
lbl.normal;Normal;Normalny
lbl.medium;Medium;Średni
lbl.large;Large;duży
lbl.huge;Huge;Ogromny
lbl.underline;Underline;Podkreślenie
lbl.bullet.list;Bulleted List;Lista punktowana
lbl.number.list;Numbered List;Lista numerowana
lbl.remove.formatting;Remove Formatting;Usuń formatowanie
msg.error.order.invoice.download;Sorry, we couldn't download your order invoice. Please try again later.;Przepraszam, nie udało się pobrać faktury za zamówienie. Spróbuj ponownie później.
msg.error.order.invoice.print;Sorry, we couldn't print your order invoice. Please try again later.;Przepraszam, nie udało się wydrukować faktury za zamówienie. Spróbuj ponownie później.
msg.error.order.download.tickets;Sorry, we couldn't download your order. Please try again later.;Przepraszamy, nie udało się pobrać Twojego zamówienia. Spróbuj ponownie później.
msg.error.order.print.tickets;Sorry, we couldn't print your order. Please try again later.;Przepraszam, nie udało się wydrukować Twojego zamówienia. Spróbuj ponownie później.
msg.buyer.resend.order.mail.success;Order details resent via email;Szczegóły zamówienia ponownie wysłane e-mailem
error.msg.buyer.resend.order.mail;Sorry, we couldn't resend the order details via email. Please try resending the email later.;Przepraszam, nie udało się ponownie wysłać szczegółów zamówienia e-mailem. Spróbuj ponownie później.
lbl.calendar.view;Calendar View;Widok kalendarza
lbl.terms.of.use;Terms of Use;Warunki użytkowania
lbl.privacy.policy;Privacy Policy;Polityka prywatności
lbl.contact.organizer;Contact Organizer;Skontaktuj się z organizatorem
msg.manage.footer.elements;Manage footer elements;Zarządzaj elementami stopki
msg.error.tac.loading;Sorry, the Terms and Policies could not be loaded. Please try again later.;Przepraszam, nie udało się załadować zasad i polityk. Spróbuj ponownie później.
msg.err.exprd.cncl.ordr.lnk;Oops! Looks like the link to cancel the order has expired.  Please try signing again with your email address or ticket ID and head to My Tickets to cancel your ticket order.;Ups! Link do anulowania zamówienia wygasł. Zaloguj się ponownie za pomocą adresu e-mail lub ID biletu i przejdź do Moje bilety, aby anulować zamówienie.
lbl.cancel.request;Cancel Request;Anuluj prośbę
lbl.cancel.previous.request;Cancel Previous Request;Anuluj poprzednie żądanie
lbl.switch.meeting;Switch Meeting;Zmień wydarzenie
lbl.last.request.on;Last Requested On;Ostatnio poproszono
msg.user.request.data.archive.success;Data access request sent;Wysłano żądanie dostępu do danych
msg.error.user.request.data.archive;Sorry, your data access request couldn't be sent. Please try again later.;Przepraszam, nie udało się wysłać Twojego żądania dostępu do danych. Spróbuj ponownie później.
msg.user.request.access.cancel.success;Data access request canceled;Żądanie dostępu do danych anulowane
msg.error.request.archive.cancel;Sorry, your data access request couldn't be canceled. Please try again later.;Przepraszam, nie udało się anulować Twojego żądania dostępu do danych. Spróbuj ponownie później.
msg.user.request.delete.data.success;Data deletion request sent;Wysłano żądanie usunięcia danych
msg.error.user.request.delete.data;Sorry, your data deletion request couldn't be sent. Please try again later.;Przepraszam, nie mogłem wysłać Twojej prośby o usunięcie danych. Spróbuj ponownie później.
msg.user.request.delete.cancel.success;Data deletion request canceled;Żądanie usunięcia danych anulowane
msg.error.request.delete.cancel;Sorry, your data deletion request couldn't be canceled. Please try again later.;Przepraszam, nie mogłem anulować Twojej prośby o usunięcie danych. Spróbuj ponownie później.
lbl.dial.in.number.webinar.number;Dial-in Number: {webinarNumber};Numer do połączenia: {webinarNumber}
lbl.vat.no;VAT Registration Number;Numer rejestracyjny VAT
lbl.australian.business.number;Australian Business Number (ABN);Australijski numer biznesowy (ABN)
msg.enter.vat.id.no;Enter your VAT registration number;Wprowadź swój numer rejestracyjny VAT
msg.enter.abn.id.no;Enter your Australian Business Number;Wprowadź swój australijski numer biznesowy
msg.business.registered.vat.no;Please enter a business registered VAT registration number;Wprowadź firmowy numer VAT
msg.gst.id.no;Business registered GST Identification Number (GSTIN);Zarejestrowany numer GST (GSTIN) firmy
msg.enter.gst.id.no;Enter your GST identification number;Wprowadź swój numer identyfikacyjny GST
msg.business.registered.gst.no;Please enter a business registered GST identification number(GSTIN);Wprowadź zarejestrowany numer GSTIN firmy
msg.tin.no;Tax Identification Number (TIN);Numer identyfikacji podatkowej (NIP)
msg.enter.tin.no;Enter your Tax Identification Number;Wprowadź swój numer identyfikacji podatkowej
msg.business.registered.tin.no;Please enter a business registered TIN registration number;Wprowadź firmowy numer rejestracyjny TIN
lbl.trn.no;Tax Registration Number;Numer rejestracyjny podatkowy
msg.enter.your.tax.no;Enter your tax registration number;Wprowadź swój numer rejestracji podatkowej
msg.business.registered.tax.no;Please enter a business registered tax registration number;Wprowadź firmowy numer rejestracji podatkowej
msg.sh.es.sponsorship.closed;sponsorship is closed for the event;sponsoring jest zamknięty dla wydarzenia
msg.view.order.in.your.orders.page;"You can view your order <a href="""">here</a>";"Możesz zobaczyć swoje zamówienie <a href="""">tutaj</a>"
lbl.all.events;All Events;wszystkie wydarzenia
msg.adjust.and.crop.image;Adjust and crop image;Dopasuj i przytnij obraz
lbl.flip;Flip;Obróć
lbl.rotate;Rotate;Obróć
lbl.zoom.in;Zoom In;Powiększ
lbl.zoom.out;Zoom Out;Oddal
lbl.telegram;Telegram;Telegram
lbl.telegram.profile;Telegram Profile;Profil Telegram
msg.telegram.url.invalid;Invalid Telegram URL;Nieprawidłowy adres URL Telegram
msg.telegram.url.too.long;Telegram URL exceeded max length;Adres URL Telegram przekroczył maksymalną długość
msg.telegram.sample.placeholder;https://telegram.org/abcde;https://telegram.org/abcde
lbl.medium.profile;Medium Profile;Profil średni
msg.medium.url.invalid;Invalid medium URL;Nieprawidłowy adres URL medium
msg.medium.url.too.long;Medium URL exceeded max length;Adres URL medium przekroczył maksymalną długość
msg.medium.sample.placeholder;https://medium.com/xyz;https://medium.com/xyz
msg.add.bookmark;Add bookmark;Dodaj zakładkę
msg.remove.bookmark;Remove bookmark;Usuń zakładkę
msg.date.and.time.shown.timezone;"Date and time is shown in <span class=""strong"">{timezone}</span>.";"Data i godzina są wyświetlane w <span class=""strong"">{timezone}</span>."
msg.err.attendee.email.repeated;Please enter an email address that isn't already included in this order;Podaj adres e-mail, który nie jest już dodany do tego zamówienia
msg.err.attendee.name.repeated;Kindly ensure that the name of the attendee is correct;Upewnij się, że imię i nazwisko uczestnika jest poprawne
msg.err.unique.attendee.email.needed;The email addresses should be different for each ticket in the order;Adresy e-mail muszą być różne dla każdego biletu w zamówieniu
lbl.show.auto.fields;Show Duplicate Fields;Pokaż zduplikowane pola
lbl.hide.auto.fields;Hide Duplicate Fields;Ukryj zduplikowane pola
lbl.purchaser.attendee.info;Purchaser and Attendee Information;Informacje o kupującym i uczestniku
lbl.error;Error;Błąd
lbl.send.qr.code;Scan QR Code;Zeskanuj kod QR
lbl.terms.and.conditions;Terms and Conditions;Regulamin
