Reference Key;Default Language;pl
msg.join.permission.session.not.registered;You can't attend this session unless you've registered for it;
lbl.restricted;Restricted;
lbl.ticket.classes;Ticket Classes;
msg.select.exhibitor.category;Select exhibitor category;
msg.hall.to.be.announced;Hall - To be announced;
lbl.lead.capture;Lead Capture;
lbl.dark;Dark;
lbl.light;Light;
msg.success.conf.setting.save;Settings saved;
msg.error.conf.setting.save;Sorry, the settings couldn't be saved. Please try again later.;
lbl.choose.format;Choose Format;
msg.export.password.required.confirmation;Password protect the file;
lbl.password;Password;
lbl.hide.password;Hide Password;
lbl.show.password;Show Password;
msg.export.password.storage.warning;Please remember this password. We will not store it.;
abbreviations.xlsx;XLSX;
abbreviations.xls;XLS;
abbreviations.csv;CSV;
msg.export.speakers.with.magic.link;Export speakers with magic sign-in link;
msg.export.attendees.with.magic.link;Export attendees with magic sign-in link;
msg.error.password.too.long;Your password must be between 8 and 100 characters;
msg.error.password.enter;You haven't entered a password for your export file;
msg.booth.appointment.book.success;Appointment booked with exhibitor!;
lbl.cancel.appointment;Cancel Appointment;
msg.appointment.details.add.calendar;Here are the details of your appointment. You can add the meeting details to your calendar.;
msg.appointment.details.below;This action will cancel the following appointment with the exhibitor;
appointment.details;Appointment details;
lbl.my.appointments;My Appointments;
lbl.exhibitor;Exhibitor;
lbl.date.and.time;Date and Time;
lbl.date;Date;
lbl.participant;Participant;
lbl.search.attendees;Search Attendees;
lbl.sort.az;Sort A-Z;
lbl.sort.za;Sort Z-A;
lbl.load.more;Load More;
lbl.about.participant;About Participant;
msg.participants.search.empty;No participants match your search criteria;
msg.error.password.invalid;You have entered an invalid password;
msg.file.upload.props;File size: Up to {maxSize} <br> Supported file types: {fileTypes};
msg.file.upload.properties.with.dimensions;File size: Up to {maxSize} <br> Optimal dimensions: {width}x{height}px <br> Supported file types: {fileTypes};
lbl.badge;Badge;
lbl.print.badge;Print Badge;
msg.print.badge.info;"To download the badge, use the ""Save"" option from the print dialog box instead of printing it.";
msg.same.card.size;Same as card size;
lbl.badge.preview;Badge Preview;
lbl.badge.size;Badge Size;
lbl.custom;Custom;
lbl.start.a.chat;Start a Chat;
lbl.request.meeting;Request Meeting;
lbl.start.time;Start Time;
lbl.duration;Duration;
msg.reason.to.meet;Reason to meet;
msg.success.send.meeting.request;Meeting request sent;
msg.error.send.meeting.request;Sorry, the meeting request wasn't sent. Please try again later.;
lbl.requests;Requests;
lbl.accept;Accept;
lbl.accepted;Accepted;
lbl.request.from;Request From;
msg.no.meeting.requests;Your meeting requests will be displayed here;
msg.success.accept.meeting.request;Meeting request accepted;
msg.success.deny.meeting.request;Meeting request denied;
msg.error.update.meeting.request;Sorry, the meeting request couldn't be updated. Please try again later.;
msg.header.meeting.request.auto.accept;Accepting meeting requests;
msg.help.text.meeting.auto.accept;Automatically accept meeting requests. You can cancel accepted meetings at any time.;
msg.help.text.meeting.manual.accept;Manually accept or decline meeting requests (Recommended);
lbl.chat.with.us;Chat with Us;
msg.appointment.share.details.desc;On booking this appointment, your name, email address, designation, and company information will be shared with the exhibitor.;
msg.appointment.share.details.desc;On booking this appointment, your name, email address, designation, and company information will be shared with the exhibitor.;
lbl.chat.with.us;Chat with Us;
lbl.back;Back;
msg.error.form.field.max.size.reached;File size should not exceed {maxFileSize};
msg.error.form.field.file.extn;Please upload a supported file type;
lbl.drop.upload.your.file.here;Drop or Upload Your File Here;
file.type.support.file.upload;({fileExtn} format supported. File size upto {fileSize} supported);
msg.file.upload.limit;File size: Up to {maxSize};
msg.error.current.order.ticket.attendee.limit.reached;Event has reached the capacity. Please contact the event organizer.;
lbl.enter.rehearsal.booth;Enter Rehearsal Booth;
msg.event.interest.select.interest;Select at least 5 interests to personalize your networking experience;
msg.event.interest.info;Interests can also be customized later under <b>Profile Settings</b>;
msg.success.event.interest.save;Your interests are saved;
msg.error.event.interest.save;Your interests couldn't be saved to your profile. Please try again later.;
lbl.interests;Interests;
lbl.personal.info;Personal Information;
msg.walkthrough.complete;Personalize your profile by completing these steps to update your details;
msg.welcome.event.description;Participate in the event through the website to join sessions, ask questions, take part in polls, and do so much more. Here are some quick links for you to access.;
lbl.hi.user.name;Hi {userName};
err.msg.book.appointment.error;Sorry, unable to book the appointment. Please try again later.;
lbl.hidden;Hidden;
msg.file.supported.file.format;Supported file types: {fileFormat};
lbl.booth.dimensions;Booth Dimensions;
lbl.recommended.profiles;Recommended Profiles;
lbl.all.profiles;All Profiles;
msg.search.empty.title;No results;
msg.search.empty.desc;No results matching your search criteria;
lbl.received;Received;
lbl.sent;Sent;
lbl.quick.action;Quick Actions;
lbl.my.interest;My Interests;
lbl.clear;Clear;
msg.error.form.select.value.invalid;Select field value is not valid;
msg.error.form.select.value.empty;Select field value should not be empty.;
msg.error.form.select.value.max.length.reached;Field value cannot exceed 250 characters;
msg.error.form.select.value.not.unique;The value you are trying to add is already present in the select field;
lbl.done;Done;
lbl.contact.us;Contact Us;
lbl.show.leads;Show Leads;
lbl.open.lead.scanner;Open Lead Scanner;
lbl.role;Role;
msg.no.notifications.show;No notifications to show;
lbl.search.speaker;Search Speaker;
lbl.search.sessions;Search Sessions;
lbl.search.sponsor;Search Sponsor;
lbl.most.oldest;Most Oldest;
lbl.most.recent;Most Recent;
lbl.comments.count;{count} Comments;
lbl.comment.count;{count} Comment;
lbl.likes.count;{count} Likes;
lbl.like.count;{count} Like;
lbl.press.esc.to;Press Esc To;
lbl.scan.leads;Scan Leads;
lbl.new.chat;New Chat;
msg.back.to.all.announcements;Back to all announcements;
lbl.view.results;View Results;
lbl.answer.poll;Answer Poll;
lbl.modify.response;Modify Response;
msg.error.booth.access.restricted;Access to booth is restricted. Please contact the event organizer for further information.;
lbl.my.leads;My Leads;
msg.poll.response.submitted;Poll response submitted;
msg.notification.meeting.booked.subtitle;Your meeting has been confirmed with {userName};
msg.notification.meeting.request.title;Meeting requested;
msg.notification.meeting.request.subtitle;{userName} has requested meeting with you;
msg.notification.meeting.canceled.title;Meeting canceled;
msg.notification.meeting.canceled.subtitle;{userName} has canceled meeting;
msg.notification.meeting.denied.title;Meeting denied;
msg.notification.meeting.denied.subtitle;{userName} has denied meeting;
msg.notification.meeting.body;{startDate} at {startTime} to {endTime};
msg.success.meeting.request.cancelled;Meeting request cancelled;
msg.notification.meeting.reminder.title;Meeting will start soon;
msg.notification.meeting.started.title;Meeting started;
msg.notification.meeting.reminder.subtitle;Your meeting with {userName} will start in 5 minutes;
msg.notification.meeting.started.subtitle;Your meeting with {userName} has started;
msg.error.promo.code.changed;The promo code you've entered is not applicable for your email address. A valid promo code has been have applied for you instead.;
msg.error.promocode.invalid;This promo code is not applicable for your email address;
msg.error.promocode.invalid.for.ticketclass;This promo code is not applicable for this ticket class.;
lbl.off;Off;
msg.notification.meeting.body;{startDate} at {startTime} to {endTime};
lbl.all.tracks.count;All Tracks ({count});
lbl.session.categories.count;Session Categories ({count});
lbl.speakers.count;Speakers ({count});
lbl.session.halls.count;Halls ({count});
lbl.session.tags.count;Session Tags ({count});
msg.attendee.consent.for.public.listing;I consent to make my profile public and allow other participants to network with me;
lbl.networking;Networking;
msg.multiple.tickets.consent.tooltip;If you're purchasing multiple tickets, this option pertains only to you and does not apply for other attendees in your order.;
lbl.create.projection.screen;Create Projection Screen;
lbl.cancelled;Cancelled;
msg.meeting.request.canceled.for;Canceled for {meetingWith};
msg.error.meeting.request.canceled;Sorry, unable to cancel the meeting request. Please try again later.;
msg.warning.conflict.meeting;You have a meeting scheduled for the same time. You can continue with the selected time to send this meeting request anyway or modify the time to avoid meeting conflicts.;
msg.warning.conflict.meeting.request;You have another meeting request for the same time. You can continue with the selected time to send this meeting request anyway or modify the time to avoid meeting conflicts.;
lbl.floor.plan;Floor Plan;
msg.visitor.floor.plan.desc;Refer to the floor plan to see who is exhibiting at our event;
msg.floor.plan.image.desc;Refer to the floor plan to view the layout of the event;
msg.expo.floor.plan.desc;Book a booth to exhibit at the event;
lbl.floor;Floor;
lbl.booth;Booth;
lbl.zone;Zone;
lbl.spot;Spot;
lbl.element;Element;
lbl.shapes;Shape;
lbl.oval;Oval;
